approval_no,name,company_name,country,region,city,address,latitude,longitude,geocode_confidence,geocode_formatted,scope,primary_species,email,phone,website,business_no,status,verified,verification_level,admin_notes
H822,Seistar Prosessfartøy As (Mattilsynet #H822),Seistar Prosessfartøy As,Norway,,Torangsvåg,"Austevollshellevegen 67, 5384 Torangsvåg, Norway",60.106058,5.17567,10,"Austevollshellevegen 67, 5384 Torangsvåg, Norway",FFPP-SA,,,,,994212923,approved,true,documentation_verified,Mattilsynet approved establishment #H822. Scope: Fresh fishery products processing - salmon/aquaculture. Business #994212923.
H823,Seivik As (Mattilsynet #H823),Seivik As,Norway,,Torangsvåg,"Austevollshellevegen 67, 5384 Torangsvåg, Norway",60.106058,5.17567,10,"Austevollshellevegen 67, 5384 Torangsvåg, Norway",FFPP-SA,,,,,995410559,approved,true,documentation_verified,Mattilsynet approved establishment #H823. Scope: Fresh fishery products processing - salmon/aquaculture. Business #995410559.
H824,Fylkesnes Fisk As (Mattilsynet #H824),Fylkesnes Fisk As,Norway,,Bremnes,"Fylkesnesvegen 164, 5430 Bremnes, Norway",59.7623419,5.1745599,10,"Fylkesnesvegen 164, 5430 Bremnes, Norway",FFPP-SA,,,,,972254592,approved,true,documentation_verified,Mattilsynet approved establishment #H824. Scope: Fresh fishery products processing - salmon/aquaculture. Business #972254592.
HE224,Primar As (Mattilsynet #HE224),Primar As,Norway,,Folldal,"Folldal Industriområde, 2580 Folldal, Norway",62.1325,9.9968,7,"2580 Buskerud, Norway","PP, PP-KL",,,,,993948047,approved,true,documentation_verified,"Mattilsynet approved establishment #HE224. Scope: Processing plant, PP-KL. Business #993948047."
HE227,Femundfisk As (Mattilsynet #HE227),Femundfisk As,Norway,,Elgå,"Elgå, 2446 Elgå, Norway",62.1658989,11.9449513,9,"Elgå, Femundveien, 2446 Elgå, Norway","FFPP, FFPP-P, PP",,,,,971960086,approved,true,documentation_verified,"Mattilsynet approved establishment #HE227. Scope: Fresh fishery products processing, Fresh fishery products processing - pelagic, Processing plant. Business #971960086."
HE2268,Salsus As (Mattilsynet #HE2268),Salsus As,Norway,,Kongsvinger,"Norvald Strands Veg 162, 2212 Kongsvinger, Norway",60.2085386,11.9328316,10,"Norvald Strands veg 162, 2212 Kongsvinger, Norway","PP, PP-C",,,,,813538512,approved,true,documentation_verified,"Mattilsynet approved establishment #HE2268. Scope: Processing plant, Processing plant - crustacean. Business #813538512."
IL3,Sykehuset Innlandet Hf (Mattilsynet #IL3),Sykehuset Innlandet Hf,Norway,,Lillehammer,"Anders Sandvigs Gate 17, 2609 Lillehammer, Norway",61.1124326,10.4736491,10,"Anders Sandvigs gate 17, 2609 Lillehammer, Norway",FFPP-P,,,,,874632562,approved,true,documentation_verified,Mattilsynet approved establishment #IL3. Scope: Fresh fishery products processing - pelagic. Business #874632562.
IL6,First Seafood As Avd Kongsvinger (Mattilsynet #IL6),First Seafood As Avd Kongsvinger,Norway,,Kongsvinger,"Stømnervegen 1, 2212 Kongsvinger, Norway",60.2073759,11.9536342,10,"Stømnervegen 1, 2212 Kongsvinger, Norway",FFPP-P,,,,,929066294,approved,true,documentation_verified,Mattilsynet approved establishment #IL6. Scope: Fresh fishery products processing - pelagic. Business #929066294.
M36,Ramoen As (Mattilsynet #M36),Ramoen As,Norway,,Ålesund,"Ystenesgata 6b, 6003 Ålesund, Norway",62.4708584,6.1719356,10,"Ystenesgata 6B, 6003 Ålesund, Norway",PP-MA,,,,,971838329,approved,true,documentation_verified,Mattilsynet approved establishment #M36. Scope: Processing plant - marine animal products. Business #971838329.
M75,Veidholmen Fisk As (Mattilsynet #M75),Veidholmen Fisk As,Norway,,Smøla,"Skjærsgårdsveien 789, 6570 Smøla, Norway",63.3304,8.0793,7,"6570 Sogn og Fjordane, Norway","FFPP, FFPP-P, PP-KL, PP-SA",,,,,974108038,approved,true,documentation_verified,"Mattilsynet approved establishment #M75. Scope: Fresh fishery products processing, Fresh fishery products processing - pelagic, PP-KL, PP-SA. Business #974108038."
M89,Hopmark Fisk As (Mattilsynet #M89),Hopmark Fisk As,Norway,,Smøla,"Vikan Industriområde 98, 6570 Smøla, Norway",63.3755111,8.2030725,8,"Vikan industriområde, Vikan, Møre og Romsdal, Norway",FFPP,,,,,932406519,approved,true,documentation_verified,Mattilsynet approved establishment #M89. Scope: Fresh fishery products processing. Business #932406519.
