approval_no,plant_name,company,address,town_region,country,scope,expiry_date,business_no
N1009,Leif Snorre Sarassen P/R Ans,Leif Snorre Sarassen P/R Ans,"nan, 8743.0 Indre Kvarøy, Norway",Indre Kvarøy,Norway,"FFPP, FFPP-P, PP-ST",,978242022.0
N1036,Pelagia Træna,Pelagia Træna,"Galtneset, 8770.0 Træna, Norway",Træna,Norway,"FFPP, FFPP-P, MSM, PP",,971766247.0
N1041,Nova Sea As Avd Industri,Nova Sea As Avd Industri,"nan, 8764.0 Lovund, Norway",Lovund,Norway,"FFPP-P, FFPP-SA",,974165716.0
N1065,Sæterstad Gård As,Sæterstad Gård As,"Sæterstad, 8695.0 Hattfjelldal, Norway",Hattfjelldal,Norway,"FFPP-P, FFPP-SA, PP",,872225382.0
N1070,Tindskjær As,Tindskjær As,"Vågstranda 64, 8063.0 Værøy, Norway",Værøy,Norway,"FFPP, PP, PP-ST",,920905412.0
N1073,Finneidfjord Industrier As,Finneidfjord Industrier As,"nan, 8642.0 Finneidsfjord, Norway",Finneidsfjord,Norway,PP,,812575422.0
N1084,Dønna Fiskemottak As,Dønna Fiskemottak As,"Hølaveien 48, 8820.0 Dønna, Norway",Dønna,Norway,"FFPP, PP-SA",,989576232.0
N1098,Seløy Fisk As,Seløy Fisk As,"Seløy, 8850.0 Herøy, Norway",Herøy,Norway,"FFPP, FFPP-P, PP-SA, PP-ST",,990424004.0
N1113,Træna Sjømat As,Træna Sjømat As,"nan, 8158.0 Bolga, Norway",Bolga,Norway,FFPP,,929720261.0
N1115,Mowi Avd Slakteri Herøy,Mowi Avd Slakteri Herøy,"Øksningsveien 43, 8850.0 Herøy, Norway",Herøy,Norway,"FFPP-P, FFPP-SA",,972354899.0
N1142,Øver Hongset Da,Øver Hongset Da,"Hongsetveien 106, 8960.0 Velfjord, Norway",Velfjord,Norway,"FFPP-P, FFPP-SA, PP",,887680892.0
N1187,Kjella Samvirkelag Sa,Kjella Samvirkelag Sa,"Haukenesveien 45, 7982.0 Bindalseidet, Norway",Bindalseidet,Norway,FFPP,,971719230.0
N1200,Roger Blom,Roger Blom,"Kvitnes, 8414.0 Hennes, Norway",Hennes,Norway,PP-ST,,nan
