factory,company,location,website,species,capacity,certifications,byproduct,confidence_species,confidence_capacity,confidence_certifications,confidence_byproduct,evidence_urls,notes,cfia_ref
Pacific Seafood – San Antonio,Pacific Seafood,"3019 NE Loop 410, San Antonio, Texas 78218, USA",https://www.pacificseafood.com/,Unknown,Unknown,Unknown,Unknown,LOW,LOW,LOW,LOW,,Website found but pages not extractable / too thin,
Pacific Seafood – Salt Lake City,Pacific Seafood,"2655 S 1030 W, Ste D, West Valley City, Utah 84119, USA",https://www.pacificseafood.com/,Unknown,Unknown,Unknown,Unknown,LOW,LOW,LOW,LOW,,Website found but pages not extractable / too thin,
Pacific Seafood – Sacramento,Pacific Seafood,"1420 W National Drive, Sacramento, California 95834, USA",https://www.pacificseafood.com/,Unknown,Unknown,Unknown,Unknown,LOW,LOW,LOW,LOW,,Website found but pages not extractable / too thin,
Pacific Seafood – Portland (Clackamas),Pacific Seafood,"16797 SE 130th Ave, Clackamas, Oregon 97015, USA",https://www.pacificseafood.com/,Unknown,Unknown,Unknown,Unknown,LOW,LOW,LOW,LOW,,Website found but pages not extractable / too thin,
Pacific Seafood – Phoenix,Pacific Seafood,"402 South 63rd Ave, Phoenix, Arizona 85043, USA",https://www.pacificseafood.com/,Unknown,Unknown,Unknown,Unknown,LOW,LOW,LOW,LOW,,Website found but pages not extractable / too thin,
Pacific Seafood – Newport,Pacific Seafood,"213 SW Bay Blvd, Newport, Oregon 97365, USA",https://www.pacificseafood.com/,Unknown,Unknown,Unknown,Unknown,LOW,LOW,LOW,LOW,,Website found but pages not extractable / too thin,
Pacific Seafood – Mukilteo,Pacific Seafood,"4520 107th St SW, Mukilteo, Washington 98275, USA",https://www.pacificseafood.com/,Unknown,Unknown,Unknown,Unknown,LOW,LOW,LOW,LOW,,Website found but pages not extractable / too thin,
Pacific Seafood – Miami,Pacific Seafood,"4450 NW 36th Street, Miami, Florida 33166, USA",https://www.pacificseafood.com/,Unknown,Unknown,Unknown,Unknown,LOW,LOW,LOW,LOW,,Website found but pages not extractable / too thin,
Pacific Seafood – Los Angeles (Wilmington),Pacific Seafood,"605 N Flint Ave, Wilmington, California 90744, USA",https://www.pacificseafood.com/,Unknown,Unknown,Unknown,Unknown,LOW,LOW,LOW,LOW,,Website found but pages not extractable / too thin,
Pacific Seafood – Las Vegas,Pacific Seafood,"5845 W Wynn Road, Ste E, Las Vegas, Nevada 89118, USA",https://www.pacificseafood.com/,Unknown,Unknown,Unknown,Unknown,LOW,LOW,LOW,LOW,,Website found but pages not extractable / too thin,
Pacific Seafood – Kodiak,Pacific Seafood,"317 Shelikof Street, Kodiak, Alaska 99615, USA",https://www.pacificseafood.com/,Unknown,Unknown,Unknown,Unknown,LOW,LOW,LOW,LOW,,Website found but pages not extractable / too thin,
Pacific Seafood – Houston,Pacific Seafood,"15100 Grand Point Rd, Houston, Texas 77090, USA",https://www.pacificseafood.com/,Unknown,Unknown,Unknown,Unknown,LOW,LOW,LOW,LOW,,Website found but pages not extractable / too thin,
Pacific Seafood – Fresno,Pacific Seafood,"523 N Brawley Ave, Fresno, California 93706, USA",https://www.pacificseafood.com/,Unknown,Unknown,Unknown,Unknown,LOW,LOW,LOW,LOW,,Website found but pages not extractable / too thin,
Pacific Seafood – Eureka,Pacific Seafood,"1 Commercial Street, Eureka, California 95501, USA",https://www.pacificseafood.com/,Unknown,Unknown,Unknown,Unknown,LOW,LOW,LOW,LOW,,Website found but pages not extractable / too thin,
Pacific Seafood – Charleston,Pacific Seafood,"63501 Boat Basin Road, Charleston, Oregon 97420, USA",https://www.pacificseafood.com/,Unknown,Unknown,Unknown,Unknown,LOW,LOW,LOW,LOW,,Website found but pages not extractable / too thin,
Pacific Seafood – Brookings,Pacific Seafood,"PO Box 3205, Brookings, Oregon 97145, USA",https://www.pacificseafood.com/,Unknown,Unknown,Unknown,Unknown,LOW,LOW,LOW,LOW,,Website found but pages not extractable / too thin,
Pacific Fishing (Charleston),Pacific Seafood,"63501 Boat Basin Road, Charleston, Oregon 97420, USA",https://www.pacificseafood.com/,Unknown,Unknown,Unknown,Unknown,LOW,LOW,LOW,LOW,,Website found but pages not extractable / too thin,
Pacific Fabrication (Warrenton),Pacific Seafood,"1815 NW Warrenton Drive, Warrenton, Oregon 97146, USA",https://www.pacificseafood.com/,Unknown,Unknown,Unknown,Unknown,LOW,LOW,LOW,LOW,,Website found but pages not extractable / too thin,
Galveston Shrimp Company,Pacific Seafood,"8011 Harborside Drive, Galveston, Texas 77553, USA",https://www.pacificseafood.com/,Unknown,Unknown,Unknown,Unknown,LOW,LOW,LOW,LOW,,Website found but pages not extractable / too thin,
UniSea - Dutch Harbor Plant,"UniSea, Inc.","88 Salmon Way, Dutch Harbor, Alaska 99692-0008, USA",https://www.unisea.com/,"Multi-species seafood (Lobster, Crab, Scallop, Shrimp/Prawn, Cod)",Unknown,Unknown,"YES (Fish oil, Fishmeal, Rendering)",MEDIUM,LOW,LOW,HIGH,https://www.unisea.com | https://www.unisea.com/products | https://www.unisea.com/product,Verified from website text extraction,
