approval_no,plant_name,company,address,town_region,country,activity,activity_type
PP.71.2940.15,CONGEL D'CHERA,CONGEL D'CHERA,"38,BIS, ZONE INDUSTRIELLE , EL MARSA, LAYOUNE",LAAYOUNE,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
3113,CONGEL MIRAMAR,CONGEL MIRAMAR,ZONE INDUSTRIELLE HAY ESSALAM DAKHLA,DAKHLA,Morocco,"CONGELATION, CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS, FILETAGE, EVISCERATION ET ETETAGE DES PETITS PELAGIQUES","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PEF.40.0064.16,CONGELADO MANHATTAN,CONGELADO MANHATTAN,"4 GROUPE LOCAUX TECH, ZI TETOUAN",M'DIQ,Morocco,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
3116,CONGELADOS PESCA,CONGELADOS PESCA,ZONE INDUSTRIELLE ESSALAM DAKHLA,DAKHLA,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.74.3011.18,CONGELATION AL JANOUB,CONGELATION AL JANOUB,ZONE INDUSTRIELLE ESSALAM DAKHLA,DAKHLA,Morocco,"CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS, CONGELATION ET FILETAGE","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
3066,CONGELATION AL KHALIJ,CONGELATION AL KHALIJ,ZONE INDUSTRIELLE HAY SALAM DAKHLA,DAKHLA,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
2512,CONGELATION ALOUK DAS,CONGELATION ALOUK DAS,BP 83 ZONE INDUSTRIELLE DAKHLA,DAKHLA,Morocco,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS ET CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT E T O U CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
3246,CONGELATION CABO BARBAS,CONGELATION CABO BARBAS,"LOT N° 23-24, 25 ZONE INDUSTRIELLE. HAY ESSALAM DAKHLA",DAKHLA,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.71.3921.18,CONGELATION EL MOUSTAKIM,CONGELATION EL MOUSTAKIM,nan,LAAYOUNE,Morocco,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS ET CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
2917,CONGELATION VILLAMAR,CONGELATION VILLAMAR,ZONE .INDUSTRIELLE HAY ESSALAM DAKHLA,DAKHLA,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
3278,CONITAL,CONITAL,QI TASSILA AGADIR,AGADIR,Morocco,SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
1293,CONOR,CONOR,ZI HAY TAKADOUM BP 22 TAOURIRTE / LOT N° 44 ZONE INDUSTRIELLE OUJDA,TAOURIRT,Morocco,SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
3147,CONSERVAL,CONSERVAL,ROUTE DU JORF EL YOUDI BP 2253. RC 1425 SAFI,SAFI,Morocco,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
5381,CONSERVAL II,CONSERVAL II,ROUTE DJORF LYOUDI BP 2253,SAFI,Morocco,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
3014,CONSERVAS Y SALAZONES DEL ATLANTICO,CONSERVAS Y SALAZONES DEL ATLANTICO,NOUVEAU PORT DE LARACHE BP 572 LARACHE,LARACHE,Morocco,SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
1248,CONSERVERIE D’OUJDA,CONSERVERIE D’OUJDA,Q.I BP 361 OUJDA / LOT N° 44 ZONE INDUSTRIELLE OUJDA,OUJDA,Morocco,SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
2035,CONSERVERIE DES DEUX MERS,CONSERVERIE DES DEUX MERS,LOT 37-38-39-40-42 NOUVEAU PORT D' AGADIR,AGADIR,Morocco,SEMI-CONSERVE ET MARINADE DES ANCHOIS AU VINAIGRE ET FILETAGE DU POISSON SAL2,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.74.0265.20,CONSERVERIE DE OUED EDDAHAB,CONSERVERIE DE OUED EDDAHAB,"LOT N°3, ZONE INDUSTRIELLE PORTUAIRE -DAKHLA",DAKHLA,Morocco,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.25.2294.18,CONSERVERIE IFNI,CONSERVERIE IFNI,ANGLE AVENUE AL MOUKAOUAMA ET RUE MOUSSA IBNOU NOUSSAIR ZONE INDUSTRIELLE BP 399 AGADIR,AGADIR,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
4175,CONSERVERIE LA GIRONDE,CONSERVERIE LA GIRONDE,RUE MOUSSA IBNOU NOUSSAIR.QI.AGADIR,AGADIR,Morocco,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
1461,CONSERVERIES DES 2 MERS,CONSERVERIES DES 2 MERS,RUE 3 LOT 84 ZI ROUTE DE TETOUAN TANGER,TANGER,Morocco,SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.74.0269.20,CONSERVERIES PELAGIQUES DE DAKHLA,CONSERVERIES PELAGIQUES DE DAKHLA,"Lot n° 2, ZONE INDUSTRIELLE PORTUAIRE -DAKHLA",DAKHLA,Morocco,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.74.0260.20,CONSERVERIES RIO DE ORO,CONSERVERIES RIO DE ORO,"Lot n° 6, ZONE INDUSTRIELLE PORTUAIRE -DAKHLA",DAKHLA,Morocco,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
3227,COPELIT,COPELIT,BP 66 Z I LAAYOUNE PORT,LAAYOUNE,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
5459,COPELIT,COPELIT,ZONE INDUSTRIELLE BP 66 PORT LAAYOUNE,LAAYOUNE,Morocco,HUILE DE POISSON A CONSOMMATION HUMAINE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.33.0084.16,COPERATIVE ISLMANE IFNI,COPERATIVE ISLMANE IFNI,ZONE INDUSTRIELLE DE SIDI IFNI,SIDI IFNI,Morocco,SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.26.0157.18,COPRALIM,COPRALIM,"ZONE INDUSTRIELLE TASSILA,N° 178 D'CHEIRA EL JIHADIA INEZGANE AIT MELLOUL",AGADIR,Morocco,"CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS, CONGELATION ET FILETAGE","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
2218,COPRAVE,COPRAVE,37 RUE AIT BA AMRANE CASA (RUE IBN BATOUTA ZI LOT N 115 EL JADIDA) USINES : N°115 QUARTIER INDUSTRIEL,EL JADIDA,Morocco,SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
2155,COPRINCO,COPRINCO,BP 186 PORT DE BENI NSAR NADOR 62050,NADOR,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
2573,COQUILLAGES DAKHLA,COQUILLAGES DAKHLA,HAY MOULAY RACHID DAKHLA,DAKHLA,Morocco,EXPEDITION DES CRUSTACES VIVANTS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
3012,COSA PECHE,COSA PECHE,BP 1 ZONE INDUSTRIELLE HAY SALAM DAKHLA,DAKHLA,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.60.0088.16,COSTA CONSERVE,COSTA CONSERVE,"ZONE INDUSTRIELLE MUNICIPALE,LOT 89 KENITRA",KENITRA,Morocco,"SEMI-CONSERVE, MARINADE, CUISSON ET CONGELATION","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
3060,COUJDA II,COUJDA II,PORT DE PECHE DE MEHDIA,KENITRA,Morocco,SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
4803,CRANGOMAR,CRANGOMAR,"TANGER FREE ZONE, ILOT N° 118 B, LOT N° 2 TANGER BOUKHALEF",TANGER,Morocco,DECORTICAGE DES CREVETTES,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.52.0114.16,CRAWFISH,CRAWFISH,"LOT N° 42, ZONE INDUSTRIELLE, SAFI",SAFI,Morocco,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
5222,CRUSTA FISH,CRUSTA FISH,ANGLE RUE ECHEIH CHAAIB ADOUKALI ET RUE IBN KHALDOUN EL FARABI QUARTIER DU PORT DE PECHE MOHAMMEDIA,MOHAMMADIA,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.74.2467.18,CSF,CSF,ZONE INDUSTRIELLE AVENUE BOUJDOUR DAKHLA,DAKHLA,Morocco,"CONGELATION, EVISCERATION ETETAGE, FILETAGE, CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS ET TRAITEMENT ET CONGELATION DES ŒUFS DE SEICHE ET DE COURBINE","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
1156,CUMAREX,CUMAREX,39 Z I DE TETOUAN BP 6037,M'DIQ,Morocco,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
3498,CUMAREX 1,CUMAREX 1,39 ZI DE TETOUAN BP 6049,M'DIQ,Morocco,"CONSERVE DE POISSON, CONSERVE DE COQUILLAGE ET CONSERVE DE POULPE","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PEF.74.0193.18,DAKHLA STOCKAGE,DAKHLA STOCKAGE,"Lot n° 140 ZONE INDUSTRIELLE HAY ESSALAM, DAKHLA",DAKHLA,Morocco,ENTREPOSAGE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
2274,DAKMAR,DAKMAR,BP 132 ZONE INDUSTRIELLE ESSALAM DAKHLA,DAKHLA,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
2698,DAKNAVE,DAKNAVE,BP 132 ZONE INDUSTRIELLE ESSALMAM DAKHLA,DAKHLA,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
3404,DAKORO,DAKORO,LOT 36 NOUVELLE ZONE INDUSTRIELLE ESSALAM DAKHLA,DAKHLA,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
1975,DAMJIGUEND,DAMJIGUEND,"ZONE INDUSTRIELE, MALAH,ROUTE DE TANGER BP 121 LARACHE",LARACHE,Morocco,CONGELATION ET SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.34.1048.18,DAMPECHE,DAMPECHE,NOUVEAU POTR DE PECHE DE TANGER,TANGER,Morocco,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.37.0266.20,DAMPECHE 1,DAMPECHE 1,"N° 104, NOUVEAU POTR DE PECHE DE LARACHE",LARACHE,Morocco,SEMI CONSERVES D'ANCHOIS MARIN2S,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
5210,DAMSA,DAMSA,59 ZONE INDUSTRIEL AM MARSA PORT DE LAAYOUNE,LAAYOUNE,Morocco,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PEF.71.0102.16,DAMSA ENTREPOSAGE,DAMSA ENTREPOSAGE,LOT 21 ET 22 ZONE INDUSTRIELLE EL MARSA LAAYOUNE,LAAYOUNE,Morocco,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
PEF.25.0036.14,DAR RAHA CONSTRUCTION,DAR RAHA CONSTRUCTION,"LOTISSEMENT AL HOUDA, LOT N° 467E,Q.I DE TASSILA AGADIR",AGADIR,Morocco,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
PP.25.5112.18,DAUPHIN PECHE,DAUPHIN PECHE,PARCELLE N 48 NOUVEAU PORT AGADIR,AGADIR,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
1498,DELIMAR,DELIMAR,ROUTE DE L OCEAN QI ANZA AGADIR BP 6145-CP 70014 AGADIR,AGADIR,Morocco,SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
6044,DELIMAR II,DELIMAR II,LOT B 606 ZONE INDUSTRIELLE AIT MELLOUL AGADIR,AGADIR,Morocco,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
6340,DELIMAR III,DELIMAR III,LOT B 610 ZONE INDUSTRIELLE AIT MELLOUL AGADIR,AGADIR,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
1354,DELTA FISH,DELTA FISH,45-47 IMM N° 64 AVENUE DAKHLA HAY EL INARA Z I.CASA,CASABLANCA,Morocco,"CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS, CRUSTACES VIVANTS, DECORTICAGEDES CEREVETTES ET CONGELATION ET STOKAGE DES PRODUITS CONGELES","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.71.0168.18,DELTA OCEAN 2,DELTA OCEAN 2,"ZONE INDUSTRIELLE EL MARSA, B.P,41,LAAYOUNE",LAAYOUNE,Morocco,HUILE DE POISSON A CONSOMMATION HUMAINE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
4740,DERAL,DERAL,ZONE INDUSTRIELLE DE LA VILLE D'EL MARSSA PORT DE LAAYOUNE,LAAYOUNE,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
3010,DERHEM SEA FOOD,DERHEM SEA FOOD,ZONE INDUSTRIELLE ESSALAM DAKHLA,DAKHLA,Morocco,"CONGELATION, CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS, EVISCERATION ET ETETAGE ET FILETAGE DES PETITS PELAGIQUES","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
3931,DERHEM SEA FOOD,DERHEM SEA FOOD,ZI TASSILA III AIT MELLOUL TIQIOUINE,AGADIR,Morocco,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
3107,DERHEM SEA FOOD II,DERHEM SEA FOOD II,ZI TASSILA III AIT MELLOUL TIQIOUINE,AGADIR,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
3073,DESHAYSES THERRY,DESHAYSES THERRY,QUARTIER INDUSTRIEL ESSAOUIRA,ESSAOUIRA,Morocco,FUMAGE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.71.2199.18,DIPROMER I,DIPROMER I,ZONE INDUSTRIELLE PORT DE LAAYOUNE,LAAYOUNE,Morocco,CONGELATION ET MARINADE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
2265,DIPROMER II,DIPROMER II,BP 322 ZI VILLE DE QUARTIER EL MASSIRA ZI BP 327 DAKHLA,DAKHLA,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
3360,DIPROMER III,DIPROMER III,ENCEINTE NOUVEAU PORT N° 6264 DAKHLA,DAKHLA,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PEF.5.0066.15,DISTRIBUTION LEGHLAM,DISTRIBUTION LEGHLAM,"N° 02 ROUTE 107, SIDI MOUMEN, CASABLANCA",CASABLANCA,Morocco,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
1727,DOHA,DOHA,ZI AIT MELLOUL BIOUGRA BP 417 AGAIR,AGADIR,Morocco,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PA.15.1.21,DOMAINE D’AIN AGHBAL,DOMAINE D’AIN AGHBAL,BP 54- 53100 AZROU,AZROU,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.26.0263.20,E.D.M FISH TRADING,E.D.M FISH TRADING,"LOT C55 ZI TASSILA, DCHEIRA ELJIHADIA-INZEGANE AIT MELLOUL",AGADIR,Morocco,EVICETATION ET CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
3026,EL LEON DEL DESIERTO II,EL LEON DEL DESIERTO II,"11 RUE FILAA HAY MY RACHID, , 71000BOUJDOUR",BOUJDOUR,Morocco,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,nan
3438,EL LEON DEL DESIERTO III,EL LEON DEL DESIERTO III,CITE DITE M'HMED AUTOROUTE TEMARA,TEMARA,Morocco,"CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,CONGELATION, FILETAGE ET ENTREPOSAGE","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
