NOM DE L'ETABLISSEMENT,ADRESSE,PROVINCE/SERVICE PROVINCIAL/PORT D'ATTACHE,NUMERO AGREMENT/AUTORISATION,ACTIVITE DE L'ETABLISSEMENT,TYPE D'ACTIVITE
AMADIR,"AV AHMED EL HIBA , LOT 855 ZONE INDUSTRIELLE AIT MELLOUL INZEGANE AGADIR",AGADIR,2682,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
AMAPEX,PARCELLE 50 NOUVEAU PORT AGADIR 80000 AGADIR,AGADIR,1657,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
ANASS PESCA,PORT DE MEHDIA KENITRA,KENITRA,PP.60.0192.18,SALAISON DES ANCHOIS EN FUTS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
ANDREXPORT,44 AV MED LQBAL BIOUGRA AIT BAHA AGADIR,AGADIR,PP.27.2171.21,MATURATION ET STOCKAGE DES POISSONS SAL2S,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
ANDREXPORT II,ZONE INDUSTRIELLE D'AIT MELLOUL N° 638 BIS AGADIR,AGADIR,3718,SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
ANOL,QI ANZA AGADIR,AGADIR,3416,SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
ANTIPASTI-MED,"ZONE FRANCHE , SECTEUR B1, LOT N°2 , TANGER",TANGER,PP.34.0188.18,SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
AQUASUD,AV MED V QUARTIER INDUSTRIEL DAKHLA BP 132 DAKHLA,DAKHLA,4605,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
ARGOB FISH,N°175-176 ZONE INDUSTRIELLE DAKHLA,DAKHLA,PP.74.0011.14,TRIAGE ET CALIBRAGE DES PETITS PELAGIQUES,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
ARTERE CONGEL,ZONE PORTUAIRE DAKHLA,DAKHLA,PP.74.3108.18,"CONGELATION, CONDITIONNEMENT DES PRODUITS DE LA PËCHE A L'ETAT FRAIS ET ETETAGE ET EVISCERATION DES PRODUITS DE LA PECHE","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
ASMAK AL OUIFAK,DOUAR LAHFAYA KM 11 ROUTE DE MEDIOUNA NOUACEUR CASABLANCA,CASABLANCA,PEF.7.0099.16,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
ASMAK HAOUZ MARRAKECH,"N° 781, LOTISSEMENT AL MASSAR ROUTE DE SAFI, MARRAKECH",MARRAKECH,PEF.19.0208.19,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
ASMAK MORSAD,BP 8002 CITE DAKHLA AGADIR,AGADIR,4082,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
ASMAK TAHIRI,N° 136 HAY TARGA SIDI MBAREK MARAKECH,MARRAKECH,PEF.19.0083.16,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
ASPAM,LOT A35 ZONE INDUSTRIELLE EL MARSA LAAYOUNE,LAAYOUNE,PP.71.0145.17,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
ASSALAMA FRIGOS 1,ZONE INDUSTRIELLE LOT 151 EL JADIDA,EL JADIDA,PEF.53.0135.17,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
ASSALAMA FRIGOS 2,"ZONE INDUSTRIELLE LOT 151, EL JADIDA",EL JADIDA,PP.53.0136.17,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS ET CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
