NOM DE L'ETABLISSEMENT,ADRESSE,PROVINCE/SERVICE PROVINCIAL/PORT D'ATTACHE,NUMERO AGREMENT/AUTORISATION,ACTIVITE DE L'ETABLISSEMENT,TYPE D'ACTIVITE
HAFSA SAMAK,332 LOTISSEMENT LINA ZONE INDUSTRIELLE SIDI MAAROUF CASABLANCA,CASABLANCA,2847,"CONGELATION DE POISSON ENTIER OU FILETE, CONGELATION DES ŒUFS DE POISSONS, CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS, DECORTICAGE ET CONGELATION DES CREVETTES, ENTREPOSAGE DE VOS PROPRES PRODUITS CONGELES","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
HAIFEN FROID,NOUVEAU PORT D AGADIR,AGADIR,3722,CONGELATION ET ENTREPOSAGE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
HALIEUTES PROCESS,PARCELLE N° 30 A LA ZONE INDUSTRIELLE EL MARSA BP 65 LAAYOUNE,LAAYOUNE,5505,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
HALIEUTES ENTREPOSAGE,N° 110 ZONE INDUSTRIELLE EL EL MARSA LAAYOUNE,LAAYOUNE,PEF.71.0165.18,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
HOURIATES SIDI ABED,PDA SIDI ABED EL JADIDA,EL JADIDA,PP.53.0078.16,SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE"
IDOU PESCA,PARCELLE N° 28 NOUVEAU PORT AGADIR,AGADIR,3377,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
IFNI FRIGO,LOTISSEMENT N°1 ZONE INDUSTRIELLE ESSALAM LOT 28 ET 29 DAKHLA,DAKHLA,2459,"CONGELATION, ETETAGE ET EVISCERATION DES PETITS PELAGIQUES ET CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
IGLO FISH,ANGLE AVENUE MOHAMED YAZIDIX BOULVARD ABDERRAHMAN BOUAABID EL RAISE LAAYOUNE BP73 PORTDE LAAYOUNE,LAAYOUNE,2407,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
INDUSMAR,ZONE INDUSTRIELLE ESSALAM III DAKHLA,DAKHLA,2461,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
INDUSTRIE MAROCAINE D’ANCHOIS,QUARTIER NDUSTRIEL ANZA BP 6143 AGADIR,AGADIR,3444,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
INDUSTRY MAROCCAN ANCHOVIES,QI ANZA BP 6143 AGADIR,AGADIR,2143,SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
INTERNATIONAL CANNING COMPANY,LOT 5 ET 6 NOUVEAU QUARTIER INDUSTRIEL ROUTE DE DJORF SAFI,SAFI,5589,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
ISIBAG FISH,NOUVEAU PORT DE PECHE DE TANGER,TANGER,PP.34.0189.18,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS ET CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
ISSALMAN RIVER,ROUTE OULED BERRJAL KM 2 KENITRA,KENITRA,6219,EXPIDITION DES ANGUILLES VIVANTES,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
IPOMA,LOT 131 - 132 ZONE INDUSTRIELLE SUD OUEST MOHAMMEDIA,MOHAMMADIA,6296,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
ITAL FISH,PORT DE PECHE DE TAN TAN,TAN TAN,PP.68.0047.15,SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
JAMAL FRERES,ZONE INDUSTRIELLE LOT N° 45 VILLE D'EL MARSA LAAYOUNE,LAAYOUNE,PP.71.3590.18,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
JANAH FRERES CONSERVE,LOT 40 ZI EL MARSA LAAYOUNE,LAAYOUNE,PP.71.0182.18,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
JISA,PARCELLE N° 89 ET 90 PORT D’ AGADIR,AGADIR,1861,CONGELATION ET ENTREPOSAGE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
JISAKA,PORT DE BENI NSAR NADOR,NADOR,4885,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
JOSICOP,ZONE INDUSTRIELLE N° 103 DAKHLA,DAKHLA,3605,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
JOUMAD FRIGO,LOT N° 211 ET 212 ZONE INDUSTRIELLE HAY ESSALAM DAKHLA,DAKHLA,3117,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
KACEM PECHE,LOT N° 63 Z . I ESSALAM DAKHLA,DAKHLA,3410,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
KATASAB FISH SARL,N° 50 ZONE INDUSTRIELLE AL FATH BOUJDOUR,BOUJDOUR,PP.72.0074.16,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
KB FISH,"ZONE INDUSTRIELLE, EL MARSA, LAAYOUNE",LAAYOUNE,PP.71.0031.15,HUILE DE POISSON A CONSOMMATION HUMAINE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
KLAAS PUUL HAND PEELED,"ZONE FRANCHE, ILOT N°1, LOT N°7, TANGER",TANGER,PP.34.0221.19,DECORTICAGE DES CREVETTES,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE"
KLAAS PUUL MAROC,"Z.I. AL MAJD, BEHAER, AOUAMA TANGER",TANGER,PP.34.0013.14,DECORTICAGE DES CREVETTES,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
KOMEZMAR,LOT N° 99 Z I BIR RAMI KENITRA,KENITRA,3999,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
KOMO FISH,"LOT N°47,ZONE INDUSTRIELLE EL MARSA LAAYOUNE",LAAYOUNE,PP.71.3460.18,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS ET CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
L’ESPADON,Q I AGADIR,AGADIR,1767,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
LA BEL VIE,"ANGLE ROUTE NATIONALE N° 1 ET NATIONALE N° 8 COMMUNE TIKIOUINE AGADIR IDAOUTANATE,AGADIR",AGADIR,PP.25.0043.15,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
LA VICTOIRE FISH,N° 127/B2 ZONE INDUSTRIELLE TASSILA AGADIR,AGADIR,3432,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
LAAYOUNE CONSERVE NAGJIR,LOT 38 Z I VILLE EL MARSA LAAYOUNE PORT,LAAYOUNE,4012,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
LAAYOUNE PROTEINE,"ZONE INDUSTRIELLE EL MARSA, B.P,41,LAAYOUNE",LAAYOUNE,PP.71.0061.15,HUILE DE POISSON A CONSOMMATION HUMAINE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
LADRARMAR,"N° 87, ZONE INDUSTRIELLE TASSILA III TIKIOUINE,AGADIR",AGADIR,PP.25.0002.14,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
LADRARMAR 2,Z.I Tassila3 N° 87 Tikouine Agadir,AGADIR,PEF.25.0100.16,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
LAURA FISH,LOT N° 709 PARC INDUSTRIEL SAPINO NOUACEUR CASABLANCA,CASABLANCA,PP.7.0050.15,"CONDITIONNEMENT DES PP A L'ETAT FRAIS, CONGELATION, CUISSON, FILETAGE, DECORTIVAGE DES CREVETTES ET PREPARATION DES PRODUITS DE LA PECHE MARINES A L'ETAT FRAIS ET CONGELE","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
LAURA FISH,LOT N° 709 PAC INDUSTRIEL SAPINO NOUACER CASABLANCA,CASABLANCA,PEF.7.0052.15,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
LE FUMET DE L'ATLAS,9-10 Z.I DAR BOUAZZA PROVINCE DE NOUCEUR CASABLANCA,CASABLANCA,PP.7.0037.14,"CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,FILETAGE ET FUMAGE DU POISSON ET DES PRODUITS D'AQUACULTURE","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
LES FRIGORIFIQUES BOUZERGHTOUN,DOUAR LAGOUASSEM BOUSKOURA PAR SIDI MAAROUF ZONE RURALE CASABLANCA,CASABLANCA,1312,"CONGELATION, FILETAGE, DECORTICAGE DES CREVETTES, EXTRACTION ET CONGELATION DE LA VESSIE NATATOIRE DE LA COURBINE ET CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
LGMC /CHERIFIENNE,ROUTE ELL YOUDI BP 96 SAFI,SAFI,1885,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
LGMC /COMOSA,ROUTE EL YOUDI BP 96 SAFI,SAFI,2469,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
LGMC /MARIANA,ROUTE DU JORF EL YOUDI BP 96 SAFI,SAFI,2715,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
LGMC/ AMIAROC,Q I AGADIR,AGADIR,1418,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
LIVING FISH 1,LOT N° 1102 ZONE INDUSTRIELLE SAPINO PROVINCE DE NOUCEUR CASABLANCA,CASABLANCA,PP.7.0117.16,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
LIVING FISH 2,LOT N° 1102 ZONE INDUSTRIELLE SAPINO PROVINCE DE NOUCEUR CASABLANCA,CASABLANCA,PEF.7.0118.16,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
LOGICOLD,POLE INDUSTRIEL ONDA NOUACEUR CASABLANCA,CASABLANCA,PEF.7.0062.15,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
LOGIFOOD,LOT 115 PARC INDUSTRIEL OULED SALEH PROVINCE DE NOUCEUR CASABLANCA,CASABLANCA,6359,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
LOMEN FRIGO,Z.I HAY ESSALAM DAKHLA,DAKHLA,3123,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
LOTRAF,"Zone logistique SNTL, entrepôt D5. Zi MOHAMMEDIA",MOHAMMEDIA,PEF.6.0261.20,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
LONJA SELECCION,LOT N° 86 ZONE INDUSTRIELLE DAR BOUAZZA REGION DE CASA,CASABLANCA,4000,CUISSON et CONGELATION ET RECUPERATION DES CARAPACES VIDES DES CRABES ET DES OURSINS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
LOTTE FISHING,ZONE PORTUAIRE PARCELLE N3 DAKHLA,DAKHLA,3427,"congélation des PP, filtage et conditionnement des PP","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
MAALAININE FRIGO,NOUVELLE ZI LOTS 12 ET 13 DAKHLA,DAKHLA,3221,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
MALUFRA,Z.I N° 364 ROUTE DEBDOU BP 53 TAOURIRT,TAOURIRT,5879,"DECORTICAGE DES CREVETTES, CONGELATION DES CARAPACES DE CREVETTES DESTIN2ES A LA CONSOMMATION HUMAINE","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
MANAL FRIGO,"Z I OULED ESSALAM LOT N° 226, BP N° 841 DAKHLA",DAKHLA,4659,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
MAPI,RUE DE DJORF LIHOUDI QUARTIER INDUSTRIELLE SAFI,SAFI,1927,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
MAR SEAFOOD,"LOT N° 140, ZONE INDUSTRIELLE HAY ESSALAM, DAKHLA",DAKHLA,PP.74.0178.18,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
MARISCO SERVISUR,PORT DE BENI NSAR NADOR,NADOR,3325,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
MARJANE HOLDING,"13, RUE MUSTAPHA EL MAÂNI CASABLANCA",CASABLANCA,4522,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
MAROC INDUSTRIE OVERSAE,"PARCELLE N° 280 ANCIEN PORT, AGADIR",AGADIR,PP.25.0242.20,"TRAITEMENT ET CONGELATION DES PRODUITS DE LA PECHE, FILETAGE DES PRODUITS DE LA PECHE ET CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
MARO PAWS SARL AU,LOT 157 Z.I EL JADIDA ROUTE DE MARRAKECH,EL JADIDA,PP.53.0076.16,"CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS, CONGELATION ET DECORTICAGE DES CREVETTES","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
MAROMAR,NOUVEAU PORT DE LARACHE BP 573 LARACHE,LARACHE,2888,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
MAROMEGA,PORT DE PECHE DE TAN TAN,TAN TAN,4972,HUILE DE POISSON A CONSOMMATION HUMAINE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
MARPEX,ANCIEN PORT D'AGADIR PARCELLE N° 70,AGADIR,3960,SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
MEAT CORP,"LOT 136, COMPLEXE INDUSTRIEL SAPINO, Province de NOUACEUR",MEDIOUNA/NOUACEUR,PP.7.0240.20,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
MATRAVIA,"LOT 29 PARC INDUSTRIEL DE BOUSKOURA, NOUACEUR",MEDIOUNA/NOUACEUR,PP.7.0228.19,"CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS, FILETAGE, DECORTICAGE DES CREVETTES, CUISSON DES CRUSTAC2S ET CONGELATION","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
MED PECHE,Nouveau port de pêche de Tanger,TANGER,PP.34.0204.19,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS ET CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
MED SEA FOOD,LOT 814 ZONE INDUSTIRIELLE AL MAJD TANGER,TANGER,5649,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
MELLALE PECHE,Z.I ESSALAM DAKHLA,DAKHLA,3280,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
MER FRUIT,PORT DE BENI NSAR NADOR,NADOR,4279,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
MERZAGA,LOT N° 656 AL MASSAR ROUTE DE SAFI MARRAKECH,MARRAKECH,PEF.19.124.17,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
MERVEILLES DES MERS,BP 270 ZONE INDUSTRIEL ROUTE TELEMZOUNE TAN TAN,TAN TAN,5898,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
MERVEILLES DES MERS 2,ZONE INDUSTRIEL ROUTE TELEMZOUNE TAN TAN 82000,TAN TAN,PP.68.0224.19,"CONGELATION DES PETITS PELAGIQUES ETETES, EVISCERES ET FILETES","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
MIDAV,ROUTE SIDI OUASSEL BP 301 SAFI,SAFI,1347,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
MIDL FISH,21 LOT NAMAE BENSOUDA FES,FES,PEF.9.0158.18,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
