approval_no,plant_name,company,address,town_region,country,activity,activity_type,latitude,longitude,geocode_confidence,geocode_formatted
4000,LONJA SELECCION,LONJA SELECCION,LOT N° 86 ZONE INDUSTRIELLE DAR BOUAZZA REGION DE CASA,CASABLANCA,Morocco,CUISSON et CONGELATION ET RECUPERATION DES CARAPACES VIDES DES CRABES ET DES OURSINS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",33.58831,-7.61138,6,"Casablanca, Morocco"
3427,LOTTE FISHING,LOTTE FISHING,ZONE PORTUAIRE PARCELLE N3 DAKHLA,DAKHLA,Morocco,"congélation des PP, filtage et conditionnement des PP","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",30.41071,-9.55572,9,"Dakhla, Oued ed Dahab-Lagouira, Morocco"
3221,MAALAININE FRIGO,MAALAININE FRIGO,NOUVELLE ZI LOTS 12 ET 13 DAKHLA,DAKHLA,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",30.41071,-9.55572,9,"Dakhla, Oued ed Dahab-Lagouira, Morocco"
5879,MALUFRA,MALUFRA,Z.I N° 364 ROUTE DEBDOU BP 53 TAOURIRT,TAOURIRT,Morocco,"DECORTICAGE DES CREVETTES, CONGELATION DES CARAPACES DE CREVETTES DESTIN2ES A LA CONSOMMATION HUMAINE","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",29.69015,-7.84739,9,"Guelmim-Es Semara, Morocco"
4659,MANAL FRIGO,MANAL FRIGO,"Z I OULED ESSALAM LOT N° 226, BP N° 841 DAKHLA",DAKHLA,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",30.41071,-9.55572,9,"Dakhla, Oued ed Dahab-Lagouira, Morocco"
1927,MAPI,MAPI,RUE DE DJORF LIHOUDI QUARTIER INDUSTRIELLE SAFI,SAFI,Morocco,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",32.29939,-9.23718,7,"Safi, Morocco"
PP.74.0178.18,MAR SEAFOOD,MAR SEAFOOD,"LOT N° 140, ZONE INDUSTRIELLE HAY ESSALAM, DAKHLA",DAKHLA,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",30.41071,-9.55572,9,"Dakhla, Oued ed Dahab-Lagouira, Morocco"
3325,MARISCO SERVISUR,MARISCO SERVISUR,PORT DE BENI NSAR NADOR,NADOR,Morocco,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",35.2651731,-2.9331484,9,"Beni Nsar Port, Route Beni Ensar طريق بني انصار, 62052 Beni Ansar, Morocco"
4522,MARJANE HOLDING,MARJANE HOLDING,"13, RUE MUSTAPHA EL MAÂNI CASABLANCA",CASABLANCA,Morocco,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",32.9878522,-7.607265,9,"Rue Mustapha El Maani, 26003 Settat, Morocco"
PP.25.0242.20,MAROC INDUSTRIE OVERSAE,MAROC INDUSTRIE OVERSAE,"PARCELLE N° 280 ANCIEN PORT, AGADIR",AGADIR,Morocco,"TRAITEMENT ET CONGELATION DES PRODUITS DE LA PECHE, FILETAGE DES PRODUITS DE LA PECHE ET CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",30.42018,-9.59815,7,"Agadir, Agadir-Ida-ou-Tnan, Morocco"
PP.53.0076.16,MARO PAWS SARL AU,MARO PAWS SARL AU,LOT 157 Z.I EL JADIDA ROUTE DE MARRAKECH,EL JADIDA,Morocco,"CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS, CONGELATION ET DECORTICAGE DES CREVETTES","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",32.9,-8.5,1,"El-Jadida, Morocco"
2888,MAROMAR,MAROMAR,NOUVEAU PORT DE LARACHE BP 573 LARACHE,LARACHE,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",35.19321,-6.15572,7,"Larache, Morocco"
