approval_no,plant_name,company,address,town_region,country,scope,expiry_date
1240,Jalaram Kalidas Exports.,Jalaram Kalidas Exports.,"Plot No. 1841/1, Nr. Bhidiya Bridge, Somnath Road, Veraval-362267, Gujarat, India",Gujarat,India,FREEZING OF RAW FISH & FISHERY PRODUCTS (BLOCK & BLAST-IF) (EXCLUDING AQUACULTURE),11/02/2028
1241,Vinta Cold Storage.,Vinta Cold Storage.,"Survey No.706, Near Octroi Naka, Mangrol- Veraval Highway, Mangrol - 362225, Gujarat- India.,",Mangrol - 362225,India,FREEZING OF RAW FISH & FISHERY PRODUCTS (BLOCK/BLAST FREEZING),15/12/2027
1242,Deepak Foods.,Deepak Foods.,"Plot No. 3 To 8, Somnath Road, Veraval, Gir-Somnath-362269, Gujarat, India",Gujarat,India,PROCESSING AND PACKING OF FROZEN SURIMI (FISH PASTE) FROM NON - HISTAMINE FORMING FISHES,14/12/2027
1243,J.M.SEA FOODS,J.M.SEA FOODS,SURVEY NO.17983-4  NEAR GIDC UDHYOG NAGAR   PATAN ROAD VERAVAL 362269 GUJARAT  INDIA,,India,"PROCESSING AND PACKING OF STEAM DRIED FISH  MEAL , FISH OIL & SQUID MEAL (UNFIT FOR HUMAN  CONSUMPTION )",17/01/2028
1244,VKM FOODS PRIVATE LIMITED,VKM FOODS PRIVATE LIMITED,"Plot No.           M-82, MIDC, Taloja Industrial area ,                                            Dist. Raigad-410208,",Taloja Industrial area,India,"Packing of Fresh/Chilled Fish & Fishery Products and Frozen Raw        (IF-Blast) Fish & Fishery Products, Packing of Vacuum Packed Fish & Fishery Products.",11/01/2028
1245,Win Marine Products,Win Marine Products,"Plot No:1787/1-6, Near GIDC, Somnath Road, Veraval-362269, Gujarat",Veraval-362269,India,FREEZING OF RAW FISH & FISHERY PRODUCTS (BLAST-IF) (EXCLUDING AQUACULTURE),03/03/2028
1252,Packwell Craft Pvt. Ltd.,Packwell Craft Pvt. Ltd.,"PLOT NO. R-902,MIDC RABALE, TTC INDUSTRIAL AREA, THANE-BELAPUR ROAD, NAVI MUMBAI - 400701, MAHARASHTRA, INDIA",MAHARASHTRA,India,FRESH/CHILLED RAW AND FROZEN (BLOCK/IF-BLAST) RAW FISH AND FISHERY PRODUCTS (INCLUDING AQUACULTURE),17/02/2026
1254,Albys Agro Pvt. Ltd,Albys Agro Pvt. Ltd,"Plot. No.2/1 to 2/6 , Sanguem Industrial Estate, Sanguem- Xelpem, Goa- 403704, India",Goa- 403704,India,"Fresh/Chilled Raw, Frozen (Block/IF-Blast/IQF) Raw/Blanched/Cooked Fish & Fishery Products (Including Aquaculture)",25/04/2029
1256,Vitality Aquaculture Pvt.Ltd.,Vitality Aquaculture Pvt.Ltd.,"Plot No.20/21, Sr.No.120,  Zakhar, B/H Maruti Showroom,  Jamnagar Khambhaliya Highway, Padana patiya, Jamnagar-361010, Gujarat, India",Gujarat,India,Pasteurized chilled Crab meat,13/10/2027
1257,TJ MARINE PRODUCTS PVT. LTD.,TJ MARINE PRODUCTS PVT. LTD.,"B-27/28, MIDC, Mirjole, Ratnagiri-415639, Maharashtra, India",Maharashtra,India,"Processing of Steam Dried Fish Meal, Fish oil and Fish Soluble Paste (Unfit For Human Consumption)",11/10/2027
1261,Seasaga Enterprises Private Limited - Unit II,Seasaga Enterprises Private Limited - Unit II,"Plot No E-27,Taloja Industrial Area, Taluka Panvel, Raigad District,Maharashtra-410208,India",Maharashtra-410208,India,"Packing of  Fresh/ Chilled Fish & Fishery Products , Freezing of Raw/Blanched/Cooked Fish & Fishery Products(Bock/IQF/IF)",20/12/2027
1274,S.I.A. Impex,S.I.A. Impex,"Plot No.811, Opp. Hanswati Exports,G.I.D.C. estate, Verval, 362269, Gujarat, India,",Gujarat,India,FROZEN (IF-BLAST ) RAW  FISH & FISHERY PRODUCTS (Excluding Aquaculture),08/03/2029
1280,Zenith Exports,Zenith Exports,"Plot No.317,G.I.D.C., Estate Veraval-362269, Gujarat, India,",Gujarat,India,FREEZING OF RAW FISH & FISHERY PRODUCTS (BLOCK/IF) (EXCLUDING AQUACULTURE),20/07/2027
1281,PROGRESS FROZEN & FISH STERILIZATION,PROGRESS FROZEN & FISH STERILIZATION,"Zavar Naka, Porbandar-360575,Gujarat,India.",Gujarat,India,Steam Sterilized Fish Meal Powder (Unfit for human consumption).,10/04/2026
1282,PRIME BIO PROTEINS,PRIME BIO PROTEINS,"PLOT NO. 610/1, G.I.D.C. ESTATE, VERAVAL-362269, GUJARAT, INDIA",GUJARAT,India,PROCESSING OF STEAM DRIED FISH & SHRIMP MEAL POWDER (Unfit for Human Consumption),11/04/2026
1283,Amar Food Products,Amar Food Products,"Jawar Naka, Porbandar-360575, Gujarat, India.",Gujarat,India,Processing and Packing of Raw Frozen Surimi ( Fish Minced Paste),20/03/2026
